#,Leave unused values blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Note: time values t0 / t0_chill are rows in a 1:365 data matrix NOT DOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,C_crit = C_req for DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model,boundary,t0,t0_chill,T_base,T_opt,T_min,T_max,a,b,c,d,e,f,g,w,C_ini,F_crit,C_req,P_crit,L_crit,D_crit,VPD_min,VPD_max,L_min,L_max,k,P_base,SM_base,SM_crit,VPD_base,VPD_crit,dt,dp
LIN,lower,,,,,,,-1000,-1000,,,,,,,,,,,,,,,,,,,,,,,,
LIN,upper,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,
TT,lower,1,,-5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
TT,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,
TTs,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
TTs,upper,365,,,,,,,100,100,,,,,,,350,,,,,,,,,,,,,,,,
PTT,lower,1,,-5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
PTT,upper,365,,10,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,
PTTs,lower,1,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
PTTs,upper,365,,,,,,,100,100,,,,,,,350,,,,,,,,,,,,,,,,
M1,lower,1,,-5,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
M1,upper,365,,10,,,,,,,,,5,,,,2000,,,,,,,,,,,,,,,,
M1s,lower,1,,,,,,,0,0,,,0,,,,0,,,,,,,,,,,,,,,,
M1s,upper,365,,,,,,,100,100,,,5,,,,2000,,,,,,,,,,,,,,,,
AT,lower,1,,-5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
AT,upper,365,,10,,,,500,1000,5,,,,,,,,,,,,,,,,,,,,,,,
SQ,lower,1,1,-5,-5,-5,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,
SQ,upper,365,365,10,10,10,15,,,,,,,,,,2000,350,,,,,,,,,,,,,,,
SQb,lower,1,1,-5,,,,0,-20,-10,,,,,,,0,0,,,,,,,,,,,,,,,
SQb,upper,365,365,10,,,,10,20,10,,,,,,,2000,350,,,,,,,,,,,,,,,
SM1,lower,1,1,-5,-5,-5,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,
SM1,upper,365,365,10,10,10,15,,,,,,,,,,2000,350,,,,,,,,,,,,,,,
SM1b,lower,1,1,-5,,,,0,-20,-10,,,,,,,0,0,,,,,,,,,,,,,,,
SM1b,upper,365,365,10,,,,10,20,10,,,,,,,2000,350,,,,,,,,,,,,,,,
PA,lower,1,1,-5,-5,-5,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
PA,upper,365,365,10,10,10,15,,,,,,,,,1,2000,350,,,,,,,,,,,,,,,
PAb,lower,1,1,-5,,,,0,-20,-10,,,,,,0,0,0,,,,,,,,,,,,,,,
PAb,upper,365,365,10,,,,10,20,10,,,,,,1,2000,350,,,,,,,,,,,,,,,
PM1,lower,1,,-5,-5,-5,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
PM1,upper,365,,10,10,10,15,,,,,,,,,1,2000,350,,,,,,,,,,,,,,,
PM1b,lower,1,,-5,,,,0,-20,-10,,,,,,0,0,0,,,,,,,,,,,,,,,
PM1b,upper,365,,10,,,,10,20,10,,,,,,1,2000,350,,,,,,,,,,,,,,,
UN,lower,1,1,-5,-5,-5,0,,,,,,-100,,0,,,0,,,,,,,,,,,,,,,
UN,upper,365,365,10,10,10,15,,,,,,0,,1000,,,350,,,,,,,,,,,,,,,
UM1,lower,1,,-5,-5,-5,0,,,,,,-100,,0,,,0,,,,,,,,,,,,,,,
UM1,upper,365,,10,10,10,15,,,,,,0,,1000,,,350,,,,,,,,,,,,,,,
GRP,lower,,,,,,,,-10,-10,,,,,,,0,,0,6,,,,,,,,,,,,,
GRP,upper,,,,,,,,0,0,,,,,,,2000,,50,12,,,,,,,,,,,,,
AGSI,lower,,,,,-15,0,,,,,,,,,,0,,,,,0,2000,8,10,,,,,,,,
AGSI,upper,,,,,0,45,,,,,,,,,,365,,,,,2000,5000,11.5,12,,,,,,,,
SGSI,lower,,,,,-15,0,,,,,,,,,,0,,,,,0,2000,8,10,,,,,,,,
SGSI,upper,,,,,0,45,,,,,,,,,,1,,,,,2000,5000,11.5,12,,,,,,,,
CDD,lower,30,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,,,,
CDD,upper,365,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
CDDs,lower,30,,,,,,,-2,0,,,,,,,0,,,,,,,,,,,,,,,,
CDDs,upper,365,,,,,,,0,30,,,,,,,50,,,,,,,,,,,,,,,,
CDDP,lower,30,,-5,,,,,,,,,,,,,-100,,,,,,,,,,,,,,,,
CDDP,upper,365,,30,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,
CDDM,lower,30,,-5,,,,,-5,,,,,,,,-1000,,,,,,,,,,,,,,,,
CDDM,upper,365,,30,,,,,5,,,,,,,,1000,,,,,,,,,,,,,,,,
PPM,lower,30,,,,,,,-5,,,,,,,,-100,,,,,,,,,,,,,,,,
PPM,upper,365,,,,,,,5,,,,,,,,100,,,,,,,,,,,,,,,,
DP,lower,,,,,,,-5,0,0,0,-1000,0,0,,,0,0,,8,0,,,,,,,,,,,,
DP,upper,,,,,,,5,100,5,100,0,20,10,,,100,100,,14,100,,,,,,,,,,,,
CDD2,lower,,,-10,,,,,,,,,,,,,-2000,,,,,,,,,,,,,,,,
CDD2,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
SOS,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
SOS,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,
CDD3,lower,,,-10,,,,,,,,,,,,,-2000,,,,,,,,,,,,,,,0,
CDD3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,180,
CDDs3,lower,,,,,,,,-2,0,,,,,,,0,,,,,,,,,,,,,,,0,
CDDs3,upper,,,,,,,,0,30,,,,,,,100,,,,,,,,,,,,,,,180,
DD_W3,lower,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,
DD_W3,upper,,,,,,,,,,,,,,,,,,60,,,,,,,,50,,,,,180,
DD_SM3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,
DD_SM3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,40,60,,,180,
DD_VPD3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
DD_VPD3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,60,180,
W3,lower,,,,,,,0.5,,,,,,,,,,,0,,,,,,,,,,,,,0,0
W3,upper,,,,,,,1,,,,,,,,,,,60,,,,,,,,,,,,,180,100
SM3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1000,,,0,
SM3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,,,180,
VPD3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
VPD3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,500,180,
CDD_DD_W3,lower,,,-10,,,,,,,,,,,,,-1000,,0,,,,,,,,0,,,,,0,
CDD_DD_W3,upper,,,30,,,,,,,,,,,,,0,,60,,,,,,,,50,,,,,180,
CDD_DD_SM3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,0,0,,,0,
CDD_DD_SM3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,40,50,,,180,
CDD_DD_VPD3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,0,0,0,
CDD_DD_VPD3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,8,60,180,
CDD_W3,lower,,,-10,,,,0.5,,,,,,,,,-2000,,0,,,,,,,,,,,,,0,0
CDD_W3,upper,,,30,,,,1,,,,,,,,,0,,60,,,,,,,,,,,,,180,100
CDD_SM3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,0,-1000,,,0,
CDD_SM3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,40,0,,,180,
CDD_VPD3,lower,,,-10,,,,,,,,,,,,,-1000,,,,,,,,,,,,,0,0,0,
CDD_VPD3,upper,,,30,,,,,,,,,,,,,0,,,,,,,,,,,,,8,500,180,
CDDM3,lower,,,-10,,,,,1,,,,,,,,-1000,,,,,,,,,,,,,,,0,
CDDM3,upper,,,30,,,,,500,,,,,,,,0,,,,,,,,,,,,,,,180,
W_T_bal3,lower,,,,,,,0,,,,,,,,,-1000,,,,,,,,,,,,,,,0,
W_T_bal3,upper,,,,,,,5,,,,,,,,,0,,,,,,,,,,,,,,,180,
CDDP3,lower,,,-10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,
CDDP3,upper,,,30,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,180,
SMP3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1000,,,0,
SMP3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,,,180,
VPDP3,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
VPDP3,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,500,180,
CDDP_DD_W3,lower,,,-10,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,0,
CDDP_DD_W3,upper,,,30,,,,,,,,,,,,,1000,,60,,,,,,,,50,,,,,180,
